,policy_nr_hashed,cluster
16850,beaQEqn,0
16852,nAEBWAw,0
16854,xamRKN2,0
16856,3Rd0L8a,3
16866,ZLWq738,0
16868,a6R6Woy,3
16873,92ZLLOx,0
16874,ByZJq90,0
16875,E7wkk87,3
16878,R5W7kol,3
16880,Vqxdw8x,0
16881,VqxwmaZ,3
16882,a6R50KL,0
16883,a6RqNn5,3
16887,lrz37Br,3
16891,pjmjmL5,3
16892,rLmVPnn,3
16896,xamQ9Xq,3
16897,ypgkzly,3
16900,5rZgN7y,1
16901,8rZ3PKy,3
16902,92Zo78w,1
16903,JBwJ8P8,1
16908,P8w5p5W,1
16917,dByYnyO,0
16928,K7w5ZZd,0
16930,Olw5aPw,0
16934,2LJg2kB,3
16936,6rYr3Jk,0
16944,XrPEBwZ,3
16950,kbdEyQr,3
16952,oJmj7z9,3
16953,pjmO7Al,3
16957,0WKa5Rq,0
16958,2LJAa0x,0
16964,ypg3dWW,3
16966,0WKo9ma,0
16967,2LJk9Aw,1
16970,8rZ3g0e,1
16972,92Z2jBr,1
16973,92ZLyjl,0
16974,E7wk53P,0
16977,JBw5eme,1
16980,NWE8QOa,1
16982,Olw3Wjr,1
16983,Olw3aJG,1
16987,Vqxq0og,0
16988,WP0o6b3,0
16997,wRmQVaB,1
16999,2LJgoJ5,2
17000,2LJpl9Y,2
17001,3Rd9E3Y,2
17003,3RdbgoY,2
17006,5rZLp0q,2
17007,5rZoryl,2
17009,70Naz3A,2
17010,8rZv0gm,2
17011,92Zog6w,2
17012,G2w5WJy,2
17013,LAw525p,2
17014,Olw57ar,0
17017,Vqx5Znx,2
17018,WP0Y9J3,2
17019,XrP6yRw,2
17020,XrPoKgL,0
17022,beaQoKz,2
17028,rLm8K5j,0
17031,2LJgRnB,1
17032,3Rd9Nme,0
17040,ByZA6JW,0
17041,ByZAmB3,0
17045,K7wln5J,1
17046,LAwWlJY,1
17051,P8wAwZV,1
17054,Vqx5XzL,1
17055,VqxqGBA,1
17056,WP0Yepk,1
17060,a6Rk5w5,0
17074,lrzJL5P,1
17075,lrzaRE2,0
17076,nAEzpxE,0
17078,pjmAKeA,1
17079,vL9bepz,1
17081,vL9zPeV,1
17083,wRmjX2A,1
17097,70N0ZBk,1
17098,8rZeYLm,1
17100,JBwJrZe,1
17124,2LJ0lxK,1
17127,3Rd9Gpr,1
17129,5rZ7epL,1
17133,70NoVNY,1
17134,70NzOPY,0
17137,8rZJE9y,1
17138,8rZeOoj,0
17141,92ZEkmx,1
17144,G2wAA6w,1
17153,K7w5zWJ,0
17155,LAw5N2e,1
17158,OlwxxPZ,1
17159,P8w8n3j,0
17163,R5W7YNn,1
17165,WP0d9wP,0
17185,gjkjXVA,1
17186,joJqyPN,1
17189,kbd6O69,1
17190,kbdbLQV,1
17191,kbdq99m,1
17199,nAEzA7x,1
17207,rLmKK3n,1
17212,wRmXXAd,1
17215,xamRnaq,1
17216,xamardE,1
17223,Olwx5mG,3
17224,R5Wndz2,0
17225,VqxdVog,3
17226,a6RkZW9,0
17227,joJm6GO,3
17228,qvmeLq5,3
17229,xaml3Zz,3
17236,2LJLoWe,0
17238,3RdKpeY,0
17239,5rZgaVG,1
17241,6rYrNyq,0
17249,AoZEboj,0
17253,ByZAbbW,0
17254,ByZlKl3,1
17255,ByZoLbW,1
17268,LAwRgWd,0
17269,LAwWBZ8,1
17272,Olwxo0w,1
17283,R5WABY8,1
17284,R5WkZY8,1
17288,WP0PrZw,1
17289,WP0dmLX,1
17296,a6Rkyvy,0
17301,beaBXB3,0
17303,dByJAWP,1
17316,lrz5x2v,0
17317,lrzmjm0,3
17320,nAE7KYN,0
17327,qvmjyeP,1
17329,vL9d7ZL,0
17330,vL9vvvO,1
17334,wRmALoB,1
17348,8rZJaVW,3
17349,8rZJopE,0
17350,8rZvbRp,0
17351,92ZxPGw,3
17352,AoZK2Bm,0
17356,JBwqqG9,3
17358,LAwAea8,3
17362,Q6Y5wrg,3
17363,R5W7Rb2,0
17364,R5W7Xal,3
17368,Vqx5a2R,3
17369,Vqx6dj9,3
17370,Vqxq5VR,3
17371,XrPr0d2,3
17373,YvW6g20,3
17374,ZLWGJWN,3
17376,a6R5Jb7,0
17377,a6RBY5j,0
17379,bea6qWJ,0
17381,dByY3Br,3
17386,joJBYx2,0
17394,nAEzNlY,3
17398,qvm7WqP,0
17400,qvmjJ09,3
17402,rLmKW5Y,3
17403,vL9jPwz,3
17404,vL9jlNG,3
17405,wRm7zXL,0
17407,ypg0XYx,3
17416,NWEglxQ,0
17419,YvWgjyA,3
17424,qvmvzxP,0
17432,AoZ3756,0
17433,ByZyKpW,3
17435,E7wkbOb,3
17438,JBwBW57,3
17440,JBwzxnq,3
17442,LAw59EE,3
17443,NWE2OBm,3
17446,P8w8ooW,3
17452,oJmjZny,3
17456,xamXoXE,3
17457,ypgaz85,0
17460,zPm3rPK,3
17464,6rYrBXq,1
17465,8rZEbKx,1
17466,8rZJNEo,1
17468,E7w79mV,0
17472,NWE38Vk,0
17473,Olw30mz,0
17479,YvWvKGQ,0
17480,a6RGJX7,0
17482,eBOeoKG,0
17485,kbdqekL,0
17488,oJmWGdo,1
17496,2LJp3Qm,0
17498,92ZoNeB,3
17499,JBwqaQ8,3
17500,Vqxdyzg,0
17508,8rZLmQx,3
17509,ByZlW93,0
17510,G2wAL30,3
17511,OlwlA3z,3
17512,P8wOypB,3
17513,R5W9z8p,0
17515,VqxGadY,3
17516,YvWYkV7,3
17517,YvWge8m,3
17521,dBy9Jk8,3
17522,eBO5gGG,3
17525,kbdVk9P,3
17526,kbdz0Zr,3
17527,mWm5G5z,3
17529,qvmG00y,3
17531,rLmVPkY,3
17534,wRm78OV,0
17535,wRmzgQB,0
17536,ypgaeLm,3
17543,YvWvOgG,0
17548,0WKog65,1
17551,5rZ7V5K,1
17570,LAwLGX8,0
17571,LAwzvBL,0
17576,Olw6GJG,0
17577,P8w5yJl,1
17578,R5W7Nen,0
17585,Vqx6azL,1
17586,VqxwwKA,1
17587,WP0dWK7,0
17594,a6Rvrxv,1
17598,dByJvbP,1
17599,dByobAA,1
17600,eBO57rA,1
17601,eBOXXjX,0
17607,kbdVgj7,0
17608,kbdVo39,0
17609,kbdan5L,1
17617,nAEVyzE,0
17628,xamkrNK,1
17629,xamnyBP,1
17630,ypg0qKm,1
17631,ypgkOe0,1
17642,NWE3Xlp,3
17645,YvWvkO0,3
17655,2LJg7Zw,1
17665,a6Rkwp9,0
17666,joJoaka,1
17670,nAEBdaY,1
17671,zPmPNmx,0
17675,3Rd9qoL,1
17676,3RdbmvG,0
17679,ByZAynd,1
17680,ByZlwB9,1
17683,G2wkBxk,1
17684,G2wkRWy,1
17686,K7w565y,1
17687,K7wvLOy,1
17690,R5WnGy2,1
17692,VqxWxAR,1
17700,dByB2Kq,1
17702,eBO5ooA,1
17703,eBOBgGK,0
17706,lrzrd98,1
17712,wRmzmoE,0
17713,ypgkr2Q,2
17714,ypgp6Gy,1
17718,zPmZXWl,1
17724,70NpoB8,1
17725,70NzBno,1
17726,92ZLjXj,0
17729,OlwyeRr,0
17731,P8wO6kG,1
17732,Vqxde3R,0
17733,VqxwmL9,0
17735,a6R5lrX,0
17736,a6RBxoj,0
17738,eBO3oxA,1
17744,vL9bvY6,0
17745,ypgaOeq,1
17747,5rZzgrQ,0
17748,JBwzem7,3
17749,P8wqLAO,0
17750,Vqx53jZ,3
17751,ZLWLAzz,3
17752,bea6bRa,0
17754,gjkO9kB,0
17755,mWmbrmN,0
17757,pjmx6N5,0
17759,vL95QVG,3
17762,ypgkP05,3
17766,5rZoE5e,0
17767,8rZJKXp,1
17770,92ZEkZ3,1
17772,AoZR9vj,1
17777,JBwva36,0
17780,LAwz9JZ,1
17781,LAwzoje,1
17787,Q6Y6Qwa,1
17790,WP0YX7X,1
17791,WP0o78k,0
17797,a6RkZEx,1
17802,eBOWr6K,1
17804,gjkWovE,1
17807,lrz3Wj0,1
17808,lrz5xa2,1
17809,mWm3dA8,1
17818,ypgjEwq,1
17821,2LJAQaw,0
17825,6rY0W0R,3
17836,P8wg7zG,3
17837,Q6YA6l5,3
17838,Q6YnbWg,3
17845,YvW68Ym,3
17849,dByBzm9,3
17854,kbd6ReL,3
17855,kbdqRpP,3
17862,xamambX,0
17870,ByZAjaK,1
17871,G2w2now,1
17872,XrPEJoa,1
17873,YvWEpQ7,1
17874,beaeGQZ,1
17883,wRmAA5A,1
17887,70Na6zA,3
17888,JBwBkm9,0
17892,OlwlVow,0
17900,mWmEbvE,0
17903,qvmvdal,0
17909,5rZgRja,0
17912,ByZyVOl,0
17920,R5WkrR2,3
17921,VqxqexY,0
17924,XrP0eEB,1
17925,ZLW2bGG,0
17928,kbdaOn9,1
17930,mWm3B3z,1
17933,ypgkoaq,1
17939,5rZ7rBk,1
17940,8rZvjyx,1
17941,92ZyQlZ,1
17942,92Zyp63,1
17945,E7wqBmX,0
17947,K7w5p8x,1
17949,LAwA3Nd,1
17950,LAwRByQ,1
17953,Olw59nw,1
17954,P8wOlrJ,0
17955,R5WAgQZ,0
17956,Vqx6qvQ,1
17961,ZLWq29N,1
17965,lrz3qkW,0
17966,lrz5n9W,0
17969,nAEA2m2,1
17971,oJmxamo,0
17973,qvmG7go,1
17974,wRmA3mV,1
17977,xamX8wW,1
17978,zPmlyqx,0
17980,3Rd9kEy,0
17982,ByZQ6q9,0
17983,E7w5AYV,1
17984,K7wlAkJ,0
17987,P8wOAJl,2
17989,eBOB5RA,1
17990,lrzr3X8,0
18000,0WKYVqZ,1
18007,6rY0yw8,1
18010,70NaZ9q,0
18012,70NoaWA,1
18014,8rZgnN2,1
18024,G2w2odd,1
18025,G2wmQZv,1
18027,JBwxno6,0
18034,LAw5LRY,1
18035,LAwL08e,1
18036,LAwR8dL,1
18039,NWExPog,1
18047,Q6Y0wAo,1
18049,R5W5Ayp,0
18050,R5W5r6l,0
18051,R5Wexl8,0
18058,a6R65gj,1
18059,bea39nZ,1
18064,eBOV7m3,1
18070,joJLdJE,1
18072,kbdq0dg,0
18073,kbdqE6L,1
18078,mWmW0mR,1
18079,oJmOXN6,1
18087,vL9Lpya,1
18101,0WKo586,0
18105,3RdRKp9,0
18112,5rZ7Xde,1
18113,5rZLWJl,0
18118,70N0YkL,0
18124,92ZywgL,1
18125,AoZERpN,0
18131,E7wm9GL,0
18132,E7wqGOV,3
18137,JBwxvBN,0
18140,LAwLK0Y,0
18143,OlwlX6A,1
18145,Q6Y7JZk,1
18153,WP0Ylly,1
18154,XrPoLJB,1
18155,XrPowza,1
18163,a6R5vBv,0
18166,bea6rGr,1
18171,dByYpyB,0
18172,dByakrr,1
18174,eBO3AZA,1
18179,kbdVJN7,0
18180,kbdVb5L,0
18181,kbdVxgL,0
18185,mWmAgGy,0
18186,mWmEPWR,0
18195,rLmKGvV,0
18197,vL9d9KP,0
18198,vL9dlnz,0
18199,vL9jwnz,1
18218,G2wA2Jk,0
18222,NWEqKj7,3
18224,Vqxq5dA,0
18228,YvWEv00,0
18240,92ZyWKB,0
18241,ByZmZVa,3
18246,Q6Y5gxa,3
18251,a6RkRKx,0
18253,eBOWma7,0
18254,joJBgJ2,0
18257,nAEgkB3,3
18258,pjmW9JL,0
18260,qvm709L,0
18261,qvmGnq5,3
18262,ypgaza0,0
18285,ByZlqel,3
18286,E7wk7eP,3
18287,E7wkKyb,3
18289,G2wARWB,0
18302,K7w5Wnd,0
18303,K7wQjRj,0
18305,K7wvorJ,3
18310,LAwLjjO,0
18311,LAwzeyQ,3
18313,NWE36Pa,3
18314,NWEaq7g,3
18315,NWExkek,0
18318,Olw3NNy,3
18319,OlwWlbk,0
18320,OlwyxKZ,3
18322,P8w5ywj,0
18325,Q6Y73zo,0
18328,R5WkxKq,3
18333,Vqxd57L,0
18334,Vqxw6GR,0
18335,WP0dWx3,3
18341,XrP0nGw,3
18356,ZLW2LPV,3
18360,beae233,3
18364,eBO327G,0
18365,eBOXNk3,3
18370,gjkGm3A,0
18377,nAEV65x,0
18378,nAEVmEE,0
18381,oJmWv2P,0
18390,qvmGqp9,3
18397,wRmz9KL,0
18410,R5W68LZ,3
18415,2LJpVgK,3
18418,5rZognq,3
18423,NWE2N67,0
18424,NWEgWxQ,3
18425,P8w5NvG,3
18426,P8wgvNV,0
18430,beaQ0rZ,0
18431,dByGw9q,3
18432,dByYYKP,3
18433,eBOVAZj,3
18440,kbdREZP,0
18443,oJm5Nm9,3
18444,qvmjzGZ,3
18445,qvmvGaL,3
18447,vL9b5E6,3
18452,0WK9aXp,1
18453,0WK9o7p,0
18457,70NadRq,1
18458,8rZLmWm,1
18462,AoZKrnx,0
18470,K7wQ2WY,1
18478,OlwlR7n,1
18486,XrPGbAx,0
18487,XrPGeXL,0
18490,a6R60GX,0
18497,eBOBgm7,0
18498,eBOVd9m,0
18504,lrz5zqR,1
18514,qvmjPV5,1
18515,qvmjzNv,1
18527,zPm2mWd,1
18529,2LJVVeJ,1
18534,6rYooJV,1
18537,8rZL7W2,1
18538,8rZLXnp,0
18539,8rZek02,1
18540,G2wm06d,1
18541,G2wmlJd,1
18543,LAwRR78,1
18545,OlwW0Or,0
18546,OlwxPaz,0
18548,P8w8QwA,0
18549,P8wgpoJ,0
18550,Q6Y0JA7,0
18552,Q6Yn0Lq,1
18555,R5W7E0l,0
18559,YvWgPYj,1
18565,kbdqPqV,1
18569,wRmz0oB,0
18571,ypga2Bx,1
18574,zPm2nQl,1
18578,ByZyB20,3
18580,R5WAgVl,3
18585,eBOBOOG,3
18587,oJmW7oJ,3
18590,vL9dV66,0
18595,3RdO36L,0
18596,3Rdb8wG,3
18597,5rZ7OEG,0
18598,6rY0Kpq,0
18599,6rYdaL3,3
18600,70Nvyvv,3
18601,92ZdKZj,3
18603,G2wVkpw,0
18604,JBw0PK9,3
18605,K7wlvXZ,3
18606,NWEaNLr,3
18608,P8w53aB,3
18610,R5WeJ7J,0
18612,YvWgXrQ,0
18615,lrzJZV0,3
18617,oJmleEP,0
18618,pjmO7Va,3
18620,vL95l6L,0
18621,vL9jAmo,3
18624,wRmj5Vr,3
18626,xamRa7E,3
18628,ypgleay,0
18631,2LJAW5x,0
18636,5rZr0mL,1
18646,ByZQ7aQ,1
18648,G2wQbPv,1
18653,LAwzOK6,0
18654,OlwljGk,1
18655,Olwyawr,1
18656,Q6Ynm2k,1
18657,R5WkGQ0,1
18659,XrPGxWx,0
18662,a6RvoW5,1
18664,beaY87a,0
18665,eBO3RKG,1
18666,eBOVroG,1
18668,gjkd5xX,1
18669,joJKQva,0
18670,joJq3XN,1
18672,lrz3dor,1
18673,mWmyQ8E,0
18676,oJm5me6,1
18678,oJmx97J,0
18680,qvm7By5,0
18681,rLm5jOE,1
18684,vL9z9G3,1
18688,0WK7GRp,0
18689,2LJ0Wae,1
18691,3RdOKKR,0
18692,3RdzNLR,2
18693,5rZLnPG,0
18694,6rYRNO3,1
18696,70Npo5o,2
18698,8rZvmB6,1
18701,92ZEvor,0
18702,AoZKJJp,1
18707,E7wmmX5,0
18708,E7wzv8x,2
18710,JBwJV66,1
18723,P8w5b0l,0
18724,P8wgJPA,2
18732,eBOXYqy,2
18733,joJG0lw,2
18736,mWm5xAE,2
18740,oJmxyrE,2
18744,rLmVJBx,2
18745,vL9LR06,1
18747,wRm7Nj8,0
18748,xamQARX,1
18749,xamXqlJ,0
18750,ypg8JBq,2
18751,zPm2dGV,1
18754,6rYRJvO,1
18755,6rYrYy3,1
18757,92ZEJzj,1
18758,ByZy8Kw,0
18759,JBw56EL,0
18760,JBwJdB6,1
18763,LAwzlVL,1
18766,P8w8ypO,1
18767,P8wgxKp,0
18770,WP0Yb67,1
18771,WP0dpeQ,1
18775,mWm5Wee,0
18776,pjmWw3q,1
18782,xamQBgX,0
18783,xamnLNJ,0
18787,70NoZ9v,0
18788,K7wxPYg,0
18790,R5WAkWq,3
18792,beaQwmG,3
18794,3Rd9Lrr,3
18795,ZLWLd2V,3
18799,pjmOraA,0
18800,vL9bOy3,3
18801,xamk7kz,0
18803,zPm3LpV,0
18805,0WKoqZa,0
18806,3RdJZay,0
18809,eBO3rYK,3
18811,oJmWW09,3
18813,ypgjmxQ,0
18815,0WKWz8O,3
18818,8rZL9Pe,0
18819,8rZLQg2,3
18820,8rZryBp,0
18825,G2w562n,3
18830,YvWvEvm,0
18836,kbdbP7m,3
18842,rLmKQ7m,0
18844,ypgkWqW,3
18846,zPm3yWq,3
18848,5rZJ0el,2
18850,5rZoNJG,0
18852,92ZLkKr,1
18854,E7wozKx,2
18859,LAwWOZd,1
18862,R5W5bb2,1
18864,YvWYr85,2
18868,eBO3gl3,2
18873,mWmypOv,2
18877,vL95N7V,2
18878,vL9vY96,0
18883,2LJLVal,2
18886,6rYAO83,1
18887,6rYdxe3,1
18889,70NpQw9,0
18890,8rZ3eYW,0
18896,JBwqGO7,1
18897,NWE2ZR7,1
18900,Olw5a9E,0
18901,P8w5Jky,1
18903,Q6Y69Pg,0
18909,ZLWw0rG,2
18912,dByY5A9,1
18913,eBOWw87,0
18914,eBOXmq9,2
18915,kbdVk8L,1
18916,lrz3ln8,1
18923,pjmOeqG,1
18924,qvm7rOG,0
18925,rLmLXX0,1
18931,zPm329l,2
18937,G2w50zn,2
18938,G2wmkgk,2
18939,K7w73Zj,2
18940,K7wlXwd,2
18941,K7wlazd,2
18942,NWE8Bor,2
18944,P8wAE5j,2
18945,P8wAgYl,2
18947,R5WAr6p,2
18948,YvWv5QQ,2
18949,a6RvEW9,2
18950,beaQaVj,2
18951,dByarre,2
18952,dByojwq,2
18956,rLm7ljY,2
18958,vL9zLPO,2
18959,vL9zZQ6,2
18961,xamQmyE,2
18967,AoZxmRx,3
18970,K7wlj8J,3
18972,XrPoNKa,3
18974,kbdaBjm,0
18979,0WK7l8O,1
18980,0WKbd3n,1
18981,0WKbg8Z,0
18984,2LJgg8w,1
18987,5rZ77RQ,0
18991,92ZLWKl,1
18992,92Zywew,1
18994,ByZVmla,1
18998,G2wdb2b,0
19004,LAwRLrY,0
19005,NWE2ldm,1
19007,Olw6xqG,0
19008,OlwWvXr,1
19012,R5W72bZ,1
19022,a6R6Ex7,1
19023,a6R6gg9,1
19025,dBy9xAq,1
19027,eBO5x8X,1
19029,gjk5Ppy,0
19030,gjkGg8E,1
19031,joJK9rE,1
19040,pjmO9zl,1
19045,rLm8aRZ,1
19050,wRmL9Yk,0
19052,xamQOnW,1
19054,ypgkQKy,1
19057,3RdJlde,1
19058,3RdKyZY,1
19061,5rZJo0a,1
19064,70NzNnL,1
19065,70Nzp0A,1
19072,G2wAnld,1
19075,K7w5v5x,0
19076,K7wLWly,1
19079,Olw3RWE,1
19080,Olwy0XA,1
19088,XrPGZ9w,0
19091,YvWGZAp,1
19092,ZLW66vz,0
19094,beaKAJg,1
19095,beaLJEY,1
19097,eBOWZW9,0
19098,eBOejWx,1
19105,nAEBLvn,1
19106,nAEgkeN,1
19108,oJmxKoJ,1
19109,oJmxYm5,0
19112,rLm8gWE,0
19114,wRm7A0V,1
19116,ypg8Gmq,1
19122,3Rdbq9N,0
19124,5rZojEk,0
19130,92ZEjzN,1
19132,G2w5ybv,2
19136,K7w7VoY,0
19149,a6Rk9av,0
19151,dByGlp8,1
19152,dByYwVO,1
19156,lrzrxyR,1
19163,zPmlXWK,0
19168,70Na0RA,1
19169,70NzgoP,1
19170,8rZ3lqe,1
19173,LAwLP6Z,1
19177,ZLWq9Kz,0
19179,dByG7Ae,0
19180,eBOV27A,0
19181,joJR7em,1
19185,mWmylxe,1
19192,qvm75Z5,1
19200,3RdKGaR,1
19206,G2wAnz0,1
19216,LAwz6m8,1
19221,WP06JxP,1
19225,beaK92Z,0
19229,kbd6Wer,0
19235,qvm7OPl,3
19241,zPm2ZYA,1
19242,zPmy8rd,1
19244,0WKaJmB,1
19246,3Rd9Rer,1
19247,5rZ7y2r,1
19249,AoZV03N,1
19250,G2w0vw0,2
19251,G2wQPOd,1
19255,LAwR3qL,0
19256,R5W5q28,1
19257,R5W98J6,0
19258,VqxdVqL,0
19259,Vqxw5wL,0
19260,YvWEN0k,1
19263,a6RB6N5,1
19266,dByGnkA,1
19269,joJGEBG,2
19270,joJKnrN,1
19271,kbdROrW,2
19272,lrz5Qo8,0
19273,mWmA9AE,0
19275,nAE3X3V,1
19278,vL9j9jL,1
19279,vL9vVVO,2
19280,wRmQNvL,1
19284,ypg8mjx,0
19287,3RdzNJ9,0
19288,6rYROv8,2
19289,6rYp2lr,0
19291,8rZrEjW,2
19292,JBwBE69,1
19293,JBwvppd,2
19294,LAwAgZY,2
19295,NWE33om,2
19297,Olw587A,1
19299,Q6Y5zgo,0
19300,Q6YA5LN,1
19304,XrPrrJw,1
19305,dByYZKr,0
19306,gjkOqV0,0
19307,gjkWEXp,0
19308,gjkWV3R,0
19311,lrzrGd2,2
19312,mWm5dx8,1
19316,qvmGJGl,1
19317,qvmvea9,1
19322,wRmXA0E,1
19323,ypglQ7m,1
19328,6rYdEjO,1
19337,G2wQoRb,0
19338,JBw59Oe,1
19342,LAwWPy6,0
19343,Q6YOk5q,0
19345,R5W9ag2,1
19360,kbd6YKP,1
19364,mWmE9AZ,0
19369,vL9vwk6,0
19378,5rZor5G,0
19379,5rZrWgL,3
19383,8rZrGqe,0
19389,JBwvjE7,0
19394,LAwRRzZ,3
19396,OlwWodk,3
19397,R5WnW7Z,0
19398,XrP6xkx,0
19401,ZLWwEwN,3
19409,gjkGeYy,0
19411,kbd66J7,0
19412,kbdqJ3g,3
19414,mWm3BmN,3
19415,nAE7w7n,3
19417,oJmBG8E,1
19420,rLmKPPj,0
19422,vL9vrWX,3
19429,2LJLWlV,0
19431,3Rd9G0Y,3
19435,6rY0dLQ,3
19438,70NovPv,3
19443,AoZ3OgY,3
19444,AoZx9KB,3
19447,E7wqpVG,3
19451,G2wVrxn,0
19455,JBwv8mq,3
19456,K7w5Lrj,3
19460,NWExYgK,3
19466,Q6Y0mZN,3
19467,Q6Y5dKr,3
19471,R5W6zXJ,3
19473,Vqx66J6,3
19474,VqxqQXY,3
19484,ZLW2O3G,0
19487,a6RNdxj,3
19496,eBOXypG,3
19500,gjkGkz3,3
19505,kbdE2nA,3
19510,lrz5OG5,3
19511,nAE7QQ2,3
19517,oJm5Lao,3
19518,pjmbLVG,3
19519,pjmx5z5,3
19526,vL95elV,0
19527,vL9znrV,3
19530,ypg0L72,3
19533,ypgk3Bx,3
19534,ypgl060,3
19540,70Noa78,1
19545,E7wkQ9L,1
19549,K7wljbx,1
19550,LAwRrqO,1
19551,LAwqawd,0
19557,Q6Y5vjo,1
19558,R5W9ppl,0
19560,WP0YJ7X,1
19564,a6R6W3v,0
19565,eBOX0RA,0
19572,oJm5065,0
19575,qvmGVVq,0
19576,rLmVmpn,0
19577,wRmAqpV,1
19579,xamQBEP,1
19584,0WKo8Rm,3
19585,3Rd9Ebe,1
19586,6rYRBkR,1
19587,8rZe6j6,1
19591,JBw56KZ,3
19592,JBwB92J,0
19594,K7w79dY,3
19597,LAwAVAQ,0
19600,ZLWEEYz,3
19603,joJRodm,1
19607,mWmApVz,0
19611,vL9zloX,0
19617,G2wkzvv,3
19620,R5WAxGp,0
19624,mWmAlj8,0
19626,vL95KAa,3
19632,6rYoaO3,1
19638,G2wV2Kn,1
19642,LAwLArd,0
19643,P8wAq2p,1
19644,P8wOpAj,1
19646,VqxWovR,1
19647,Vqxd2Gn,1
19651,a6Rk6o7,2
19656,lrz3Pmr,0
19657,mWmAnwz,0
19658,mWmbGPZ,1
19659,nAEVyeV,0
19660,oJmjlN8,0
19663,rLm8nPj,0
19668,0WKa6WX,3
19669,3RdOyLN,0
19670,5rZLPdQ,0
19671,5rZrxxL,3
19675,K7wl2ad,3
19679,WP0YZXk,0
19682,YvWvVYQ,3
19685,gjkG59z,3
19687,kbdVwkr,0
19692,nAEzrVP,3
19695,pjmO29V,0
19696,pjmONgA,0
19697,qvmvrqL,3
19699,xamQdrK,3
19706,AoZl7pr,0
19709,JBwJWje,0
19711,LAwAmXE,0
19715,bea6VV3,3
19727,0WKo35a,0
19731,3RdO0pL,1
19732,3Rdb3BA,1
19734,5rZJx8a,2
19736,8rZ3Egp,0
19738,E7wz5EP,2
19739,E7wzK0V,2
19743,JBwxr0q,2
19744,JBwzGLL,0
19748,LAw5G08,2
19749,LAw5wyd,0
19750,LAwRVQZ,1
19753,P8w5g6B,2
19754,Q6Y5N57,2
19757,R5W9vEp,2
19758,R5Weqw6,0
19759,R5WkEN2,2
19761,Vqx50RA,2
19762,Vqx5kng,1
19763,Vqx6JZ6,0
19764,Vqx9ZAA,1
19765,VqxGjJ6,2
19766,VqxdNQZ,0
19768,XrPzPX6,1
19773,a6RByn2,1
19774,a6RGlKL,0
19775,a6RkXe9,0
19777,beaKrXn,2
19778,beaLaVY,1
19779,beaQkrn,1
19781,dByGkOP,1
19782,dByJ0oA,1
19785,joJKWQ2,2
19793,mWmyPR8,1
19794,nAEBE8e,0
19795,oJmWQEa,2
19797,qvmz0Yv,2
19798,rLm5PNJ,1
19799,vL9vPjV,0
19808,zPmyleO,1
19810,0WKao7m,0
19811,2LJ0XoJ,0
19816,92Z2OOB,1
19817,AoZRQPY,2
19819,G2wVOR0,2
19822,Q6Y7Yog,0
19823,Q6YBWxq,0
19824,VqxGaRn,0
19832,ypgjxp0,2
19836,0WK7WQB,3
19850,AoZEPWV,0
19854,E7wm2eO,3
19867,OlwyNBr,3
19868,P8w8BlA,3
19879,YvW6aPj,0
19884,a6R62l7,0
19901,qvmzLYv,3
19902,qvmzNzP,3
19905,vL9zpma,3
19916,2LJVLgw,3
19921,LAwLWP6,3
19923,dBy9B0A,3
19925,nAEV7JP,3
19928,2LJV0kY,0
19935,a6Rv3RL,3
19938,vL9vxJ3,3
19940,0WKalQ6,3
19941,5rZLrXG,0
19942,5rZgWnl,3
19945,K7w7Q8j,3
19948,WP0GgLY,3
19952,lrzaRp8,3
19953,oJmj0VJ,3
19958,3Rdz8OG,3
19970,gjkdAQA,3
19976,K7wl8lJ,3
19977,LAw5N6p,3
19978,VqxdG8L,3
19979,a6R6ayX,3
19980,kbda28b,3
19982,zPmV6ZV,3
19987,6rYrV6Q,0
19992,LAwROX6,1
19995,P8wOOJj,0
20003,pjmj3Nq,1
20006,vL95bqP,1
20013,3Rd0xya,3
20014,3RdKKqY,3
20017,5rZ7KQQ,0
20018,8rZrGWW,3
20024,E7wkrQL,0
20025,G2w2zXv,0
20026,G2w5Nan,0
20027,G2wA0Xd,0
20028,G2wm5y0,3
20029,JBwqpq7,3
20030,LAw5vYY,1
20033,P8wq3PG,0
20035,R5Wk3ol,0
20036,Vqx5ean,1
20037,VqxdlEA,0
20038,XrPzyv8,1
20041,a6R5Ezv,1
20043,beaLmBJ,0
20044,dBy9V6e,0
20046,eBO5kXG,0
20048,gjkOL3X,0
20049,joJGGAw,0
20050,kbdRzW7,0
20053,mWm58Qy,0
20054,mWmyvmZ,0
20056,oJm5jxP,0
20059,qvmGNxP,0
20060,qvmzW3v,0
20061,vL9L6QV,0
20063,wRmApOx,0
20064,wRmzYqB,1
20066,xamlXyb,0
20068,zPm2GmV,0
20071,6rYdYeQ,0
20074,8rZrL7x,3
20075,8rZvzQW,0
20084,VqxqE9g,3
20085,WP0P99y,0
20091,eBOqWjy,3
20092,joJGp52,1
20094,lrzJLKR,0
20096,mWmW28N,1
20098,oJmxV68,3
20099,pjmjdq5,0
20101,qvmkqBl,0
20102,rLmjbrx,3
20109,ypgjR5m,3
20110,ypgkapm,0
20114,E7wmw9X,0
20115,E7wq09A,0
20124,VqxdkwZ,0
20125,VqxwEzR,0
20128,eBO3xd3,0
20130,gjkGgq3,1
20131,kbdEW97,0
20137,pjmkgQW,1
20139,qvmve3o,0
