,policy_nr_hashed,cluster
673,LAw53kY,0
674,NWE2vqg,3
679,kbdVEJV,3
688,Q6Y57pk,3
690,dByB8l8,3
694,ypg8qa5,0
697,3Rd08zA,1
699,92Zd8Yx,1
705,OlwyQLB,1
724,wRm7bBx,1
732,6rYAkJO,3
736,R5WkOg8,0
740,YvWEalQ,3
741,qvmGgWl,3
742,rLmkbnn,3
745,AoZEbNm,0
747,K7wLjNO,3
751,K7w5Ynv,3
756,xamQmKW,3
760,0WK92Ln,3
773,3RdKQYy,0
775,3RdRlZr,3
776,3RdRr3N,0
780,5rZ7Wwa,3
781,5rZg6Yk,0
782,5rZgbkq,3
784,6rYrdJG,3
786,70N0qmq,3
787,70NV5Xq,3
789,8rZJ02o,3
800,AoZEPoN,0
801,AoZEZ6N,0
805,ByZyqLd,3
808,E7w5LPx,3
818,JBw5Wv8,0
820,JBwvRv8,3
821,JBwzrx9,3
823,K7wvO8Y,0
829,LAw5Ql6,0
830,LAwAYVZ,0
831,LAwAkGZ,0
832,LAwLx3d,0
833,LAwRrKE,0
837,Olw3r0k,3
838,Olw6wwn,3
844,P8w08QA,0
847,Q6Y5Vxg,0
852,R5W6XxJ,3
856,Vqx6zb9,0
858,VqxG5gY,0
859,VqxGeAR,0
866,XrP68o6,3
870,YvWGXOm,0
871,YvWgJl0,3
873,ZLW2Lxz,0
874,ZLW62lk,3
875,ZLWwVak,0
880,a6R5Axy,3
881,a6RBGlv,0
885,bea3rPn,0
886,beaLG6G,0
891,dByYNoq,3
894,eBOBgLK,0
895,eBOWBG3,0
896,eBOWKn7,0
903,gjkOadp,0
904,joJBN7G,0
905,joJGjj2,3
910,kbdamnW,3
911,kbdbr0b,0
917,mWmE8dr,3
922,nAEAoaP,3
923,nAEgXge,0
927,oJmWxjy,3
929,oJmxKZb,0
932,pjmxO8K,3
937,rLm8kd0,0
938,rLmL2gn,0
942,vL95KoG,0
944,vL9yWy3,3
945,vL9zRJV,0
947,wRmAanx,0
948,wRmjVjB,0
949,wRmjd3k,0
953,xamkNvJ,0
958,ypg8LjJ,3
959,ypg8YWq,3
960,ypg8nzm,3
961,ypgaRJJ,0
962,ypgajEJ,3
963,ypglVa0,0
966,zPmP5PK,3
967,zPmZnoO,3
979,70Nax3L,3
980,8rZE8no,0
982,ByZJQwa,3
986,LAwRZR8,3
989,Vqx6OLg,3
990,Vqx6mAA,3
992,WP06mbQ,3
996,YvWvxnQ,3
999,a6R5Bm2,3
1001,bea309Y,3
1002,beaYoNz,3
1004,eBOV3WG,3
1012,qvm7pVP,3
1015,wRmL38Z,3
1021,zPmPW9V,3
1025,70N09Xq,0
1026,ByZVvoW,0
1027,ByZlka0,1
1028,E7wzznP,0
1029,K7w79Jp,1
1030,LAwAKgY,0
1032,NWExXem,0
1035,Q6YOpa5,1
1040,VqxdPnY,0
1041,WP0P62Y,0
1050,kbdzzGb,0
1056,xamnjaP,0
1057,ypg06w5,0
